type,code,name,yobi,naikei,gaikei,atsumi,company,1＝在庫表に載ってないけどある
9RWBK,9RWBK00301/41.6,黒丸座（小箱入）ｸﾛﾒｰﾄ,1/4,7,19,1.6,クロメート,1
9RWBK,9RWBK00201/41.6,黒丸座（小箱入）ﾕﾆｸﾛ,1/4,7,19,1.6,ユニクロ,
9RWBK,9RWBK00101/41.6,黒丸座（小箱入）ﾄﾞﾌﾞ,1/4,7,19,1.6,ドブ,
RWBK,RWBK00005/161.6,黒丸座（小箱入）,5/16,9,22,1.6,生地,
RWBK,RWBK00105/161.6,黒丸座（小箱入）ﾄﾞﾌﾞ,5/16,9,22,1.6,ドブ,
RWBK,RWBK00205/161.6,黒丸座（小箱入）ﾕﾆｸﾛ,5/16,9,22,1.6,ユニクロ,
RWBK,RWBK00305/161.6,黒丸座（小箱入）ｸﾛﾒｰﾄ,5/16,9,22,1.6,クロメート,
RWBK,RWBK10305/161.6,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,5/16,9,22,1.6,三価クロメート,
9RWBK,9RWBK00205/161.6,黒丸座（小箱入）ﾕﾆｸﾛ,5/16,9,22,1.6,ユニクロ,
9RWBK,9RWBK00005/161.6,黒丸座（小箱入）,5/16,9,22,1.6,生地,
9RWBK,9RWBK00305/161.6,黒丸座（小箱入）ｸﾛﾒｰﾄ,5/16,9,22,1.6,クロメート,
9RWBK,9RWBK00105/161.6,黒丸座（小箱入）ﾄﾞﾌﾞ,5/16,9,22,1.6,ドブ,
RWBK,RWBK00003/81.6,黒丸座（小箱入）,3/8,11,25,1.6,生地,
RWBK,RWBK00103/81.6,黒丸座（小箱入）ﾄﾞﾌﾞ,3/8,11,25,1.6,ドブ,
RWBK,RWBK00203/81.6,黒丸座（小箱入）ﾕﾆｸﾛ,3/8,11,25,1.6,ユニクロ,
RWBK,RWBK00303/81.6,黒丸座（小箱入）ｸﾛﾒｰﾄ,3/8,11,25,1.6,クロメート,
RWBK,RWBK10303/81.6,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,3/8,11,25,1.6,三価クロメート,
9RWBK,9RWBK00003/81.6,黒丸座（小箱入）,3/8,11,25,1.6,生地,
9RWBK,9RWBK00203/81.6,黒丸座（小箱入）ﾕﾆｸﾛ,3/8,11,25,1.6,ユニクロ,
9RWBK,9RWBK00103/81.6,黒丸座（小箱入）ﾄﾞﾌﾞ,3/8,11,25,1.6,ドブ,
9RWBK,9RWBK00303/81.6,黒丸座（小箱入）ｸﾛﾒｰﾄ,3/8,11,25,1.6,クロメート,
9RWBK,9RWBK10303/81.6,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,3/8,11,25,1.6,三価クロメート,
RWBK,RWBK00003/82.3,黒丸座（小箱入）,3/8,11,25,2.3,生地,
RWBK,RWBK00103/82.3,黒丸座（小箱入）ﾄﾞﾌﾞ,3/8,11,25,2.3,ドブ,
RWBK,RWBK00203/82.3,黒丸座（小箱入）ﾕﾆｸﾛ,3/8,11,25,2.3,ユニクロ,
RWBK,RWBK00303/82.3,黒丸座（小箱入）ｸﾛﾒｰﾄ,3/8,11,25,2.3,クロメート,
RWBK,RWBK10303/82.3,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,3/8,11,25,2.3,三価クロメート,
9RWBK,9RWBK00203/82.3,黒丸座（小箱入）ﾕﾆｸﾛ,3/8,11,25,2.3,ユニクロ,
9RWBK,9RWBK00003/82.3,黒丸座（小箱入）,3/8,11,25,2.3,生地,
9RWBK,9RWBK00103/82.3,黒丸座（小箱入）ﾄﾞﾌﾞ,3/8,11,25,2.3,ドブ,
RWBK,RWBK00003/83.2,黒丸座（小箱入）,3/8,11,25,3.2,生地,
RWBK,RWBK00103/83.2,黒丸座（小箱入）ﾄﾞﾌﾞ,3/8,11,25,3.2,ドブ,
RWBK,RWBK00203/83.2,黒丸座（小箱入）ﾕﾆｸﾛ,3/8,11,25,3.2,ユニクロ,
RWBK,RWBK00303/83.2,黒丸座（小箱入）ｸﾛﾒｰﾄ,3/8,11,25,3.2,クロメート,
9RWBK,9RWBK00203/83.2,黒丸座（小箱入）ﾕﾆｸﾛ,3/8,11,25,3.2,ユニクロ,
9RWBK,9RWBK00003/83.2,黒丸座（小箱入）,3/8,11,25,3.2,生地,
9RWBK,9RWBK00103/83.2,黒丸座（小箱入）ﾄﾞﾌﾞ,3/8,11,25,3.2,ドブ,
RWBK,RWBK00001/22.3,黒丸座（小箱入）,1/2,14.5,32,2.3,生地,
RWBK,RWBK00101/22.3,黒丸座（小箱入）ﾄﾞﾌﾞ,1/2,14.5,32,2.3,ドブ,
RWBK,RWBK00201/22.3,黒丸座（小箱入）ﾕﾆｸﾛ,1/2,14.5,32,2.3,ユニクロ,
RWBK,RWBK00301/22.3,黒丸座（小箱入）ｸﾛﾒｰﾄ,1/2,14.5,32,2.3,クロメート,
RWBK,RWBK10301/22.3,黒丸座（小箱入）三価ｸﾛﾒｰﾄ,1/2,14.5,32,2.3,三価クロメート,
